Unique_Investment_Identifier,Business_Case ID,Agency_Code,Agency_Name,Investment_Title,Project_ID,Agency_Project_ID,Project_Name,Duration_Year,Project_Status,Start_Date,Completion_Date,Planned_Project_Completion_Date,Projected_Actual_Project_Completion_Date,Schedule_Variance,Schedule_Variance,Lifecycle_Cost,Planned_Cost,Projected_Actual_Cost,Cost_Variance,Cost_Variance,Updated_Date,Updated_Time,Unique_Project_ID
012-999990020,130,12,Department of Labor,OASAM - Benefits.gov,79,,FY 2012 Solution Improvements Project (Goal 2: Improve User Experience),1,onTime,2011-01-10T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,2012-09-30T00:00:00Z,0,0,0.41,0.407,0.407,0,0,2012-08-21T00:00:00Z,06:23:32,20020000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),80,,Procurement,0,onTime,2011-09-23T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,2011-09-30T00:00:00Z,0,0,0.21608,0.21608,0.21608,0,0,2011-11-15T00:00:00Z,12:13:01,2575010000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),81,,Requirements,0,onTime,2011-03-10T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,2011-12-30T00:00:00Z,0,0,0.14856,0.14856,0.14856,0,0,2012-02-16T00:00:00Z,13:48:02,2575020000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),82,,Technical Improvements,0,onTime,2012-03-01T00:00:00Z,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,2012-02-29T00:00:00Z,0,0,0.20776,0.20776,0.20776,0,0,2012-03-13T00:00:00Z,13:17:25,2575030000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),83,,Prototype & Integration I,0,onTime,2012-03-01T00:00:00Z,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,0,0,0.30504,0.30504,0.30504,0,0,2012-12-07T00:00:00Z,12:42:44,2575040000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),84,,Prototype & Integration II,0,onTime,2012-03-01T00:00:00Z,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,2012-06-29T00:00:00Z,0,0,0.30848,0.30848,0.30848,0,0,2012-12-07T00:00:00Z,12:42:44,2575050000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),85,,Departmental Deployment,0,onTime,2012-02-07T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,0.28918,0.28918,0.28918,0,0,2012-11-08T00:00:00Z,11:45:27,2575060000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),86,,Security,0,onTime,2012-02-04T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,0.11,0.11,0.11,0,0,2012-05-14T00:00:00Z,05:35:15,2575070000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),87,,Training,0,onTime,2012-02-07T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,0.0924,0.0924,0.0924,0,0,2012-11-08T00:00:00Z,11:45:27,2575080000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),88,,Documentation,0,onTime,2012-02-07T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,0.0725,0.0725,0.0725,0,0,2012-11-08T00:00:00Z,11:45:27,2575090000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),89,,Agency Deployment,0,onTime,2012-01-10T00:00:00Z,2012-12-31T00:00:00Z,,,0,0,0.13,0.13,0.13,0,0,2011-09-15T00:00:00Z,09:41:04,2575100000
012-000002575,115,12,Department of Labor,OASAM - Departmental E-Business Suite (DEBS),90,,Managed Services,0,onTime,2012-01-10T00:00:00Z,2012-12-31T00:00:00Z,,,0,0,0.12,0.12,0.12,0,0,2011-09-15T00:00:00Z,09:41:04,2575110000
012-000003645,839,12,Department of Labor,OASAM - HR Line of Business Shared Service Center (HRLOB SSC),91,,HR Line of Business Migration,4,onTime,2009-05-10T00:00:00Z,2013-09-30T00:00:00Z,,,0,0,18.622,9,9,0,0,2012-12-06T00:00:00Z,10:58:32,364501
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,92,,Identity Asset Management (IAM) Development and Modernization Effort-Design & HW Acquisition-20,0,advance,2011-02-06T00:00:00Z,2011-03-10T00:00:00Z,2011-03-10T00:00:00Z,2011-09-13T00:00:00Z,20,16.26,0.161,0.1607,0.1387,0.022,13.69,2011-10-28T00:00:00Z,06:50:16,322401
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,93,,"Identity Asset Management (IAM) Development and Modernization Effort - Base Year 1-26,27,28",1,onTime,2011-03-10T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,2012-09-28T00:00:00Z,0,0,1.1425,1.1425,1.1424,1.00E-04,0.01,2012-12-06T00:00:00Z,10:58:32,322501
012-000003225,116,12,Department of Labor,OASAM - HSPD-12,94,,Identity Asset Management (IAM) Development and Modernization Effort-Infrastructure Build-21,0,delay,2011-06-17T00:00:00Z,2011-04-10T00:00:00Z,2011-04-10T00:00:00Z,2011-07-12T00:00:00Z,-64,-58.72,1.141,1.141,0.57346,0.56754,49.74,2011-12-14T00:00:00Z,13:13:43,324401
